quantity,milk_type,price,branch_id,sugar_level,order_id,temperature,loyalty_points_discount,status,name,price_after_discount,ordered_time_date,size,base_price,category,addons,cart_id,email,coupon_discount,invoice_id,coupon_used,id,complete_date
1,Normal Milk,8,BRANCH001,No Sugar,ORD001,Less Ice,0,Done,Green Tea,8.0,2024-04-09 00:00:00,Large,8,Tea,['Sago'],CART001,user7@gmail.com,0.0,INV001,,CART001,
2,No Milk,8,BRANCH001,No Sugar,ORD001,Normal Ice,0,Done,Green Tea,16.0,2024-04-09 00:00:00,Medium,8,Tea,"['Cookie Crumbs', 'Whipped Cream']",CART002,user7@gmail.com,0.0,INV001,,CART002,
1,No Milk,12,BRANCH001,Low Sugar,ORD001,Hot,0,Done,Capuccino,12.0,2024-04-09 00:00:00,Large,12,Coffee,['Cookie Crumbs'],CART003,user7@gmail.com,0.0,INV001,,CART003,
1,Almond Milk,10,BRANCH001,Normal Sugar,ORD001,Normal Ice,0,Done,Espresso,10.0,2024-04-09 00:00:00,Medium,10,Coffee,['Sago'],CART004,user7@gmail.com,0.0,INV001,,CART004,
1,Soy Milk,12,BRANCH001,Low Sugar,ORD001,Less Ice,0,Done,Latte,12.0,2024-04-09 00:00:00,Medium,12,Coffee,"['Whipped Cream', 'Sago', 'Chia Seed']",CART005,user7@gmail.com,0.0,INV001,,CART005,
1,No Milk,8,BRANCH001,Low Sugar,ORD002,Normal Ice,0,Done,Green Tea,7.2,2024-07-29 00:00:00,Medium,8,Tea,[],CART006,user3@gmail.com,23.6,INV002,SAVE10,CART006,
1,Almond Milk,12,BRANCH001,Low Sugar,ORD002,Hot,0,Done,Latte,10.8,2024-07-29 00:00:00,Small,12,Coffee,"['Whipped Cream', 'Chia Seed']",CART007,user3@gmail.com,23.6,INV002,SAVE10,CART007,
1,No Milk,10,BRANCH001,Low Sugar,ORD002,Less Ice,0,Done,Chocolate,9.0,2024-07-29 00:00:00,Medium,10,Chocolate,"['Pearl', 'Coconut Jelly']",CART008,user3@gmail.com,23.6,INV002,SAVE10,CART008,
2,No Milk,10,BRANCH001,Normal Sugar,ORD002,Normal Ice,0,Done,Chocolate,18.0,2024-07-29 00:00:00,Small,10,Chocolate,"['Coconut Jelly', 'Whipped Cream', 'Chia Seed']",CART009,user3@gmail.com,23.6,INV002,SAVE10,CART009,
2,Normal Milk,12,BRANCH001,Low Sugar,ORD002,Less Ice,0,Done,Capuccino,21.6,2024-07-29 00:00:00,Small,12,Coffee,"['Pearl', 'Sago']",CART010,user3@gmail.com,23.6,INV002,SAVE10,CART010,
2,No Milk,10,BRANCH001,Low Sugar,ORD003,Hot,0,Done,Chai Latte,18.0,2023-02-11 00:00:00,Small,10,Tea,['Sago'],CART011,user3@gmail.com,23.6,INV003,SAVE10,CART011,2024-11-26 06:32:20
1,No Milk,12,BRANCH001,Low Sugar,ORD003,Hot,0,Done,Mocha,10.8,2023-02-11 00:00:00,Small,12,Coffee,"['Pearl', 'Cookie Crumbs', 'Sago']",CART012,user3@gmail.com,23.6,INV003,SAVE10,CART012,
2,No Milk,12,BRANCH001,No Sugar,ORD003,Less Ice,0,Done,Mocha,21.6,2023-02-11 00:00:00,Small,12,Coffee,"['Coconut Jelly', 'Whipped Cream']",CART013,user3@gmail.com,23.6,INV003,SAVE10,CART013,
1,Almond Milk,8,BRANCH001,Normal Sugar,ORD003,Normal Ice,0,Done,Green Tea,7.2,2023-02-11 00:00:00,Medium,8,Tea,"['Chia Seed', 'Sago']",CART014,user3@gmail.com,23.6,INV003,SAVE10,CART014,
1,No Milk,8,BRANCH001,Normal Sugar,ORD003,Less Ice,0,Done,Green Tea,7.2,2023-02-11 00:00:00,Large,8,Tea,[],CART015,user3@gmail.com,23.6,INV003,SAVE10,CART015,
2,Normal Milk,10,BRANCH005,Normal Sugar,ORD004,Less Ice,0,Done,Chai Latte,20.0,2024-12-09 00:00:00,Small,10,Tea,['Chia Seed'],CART016,user10@gmail.com,0.0,INV004,,CART016,2024-11-26 06:48:22
1,Soy Milk,10,BRANCH005,Normal Sugar,ORD004,Normal Ice,0,Done,Chai Latte,10.0,2024-12-09 00:00:00,Large,10,Tea,"['Chia Seed', 'Pearl', 'Sago']",CART017,user10@gmail.com,0.0,INV004,,CART017,
1,No Milk,10,BRANCH005,No Sugar,ORD004,Less Ice,0,Done,Chai Latte,10.0,2024-12-09 00:00:00,Large,10,Tea,['Coconut Jelly'],CART018,user10@gmail.com,0.0,INV004,,CART018,
1,Almond Milk,10,BRANCH005,No Sugar,ORD004,Normal Ice,0,Done,Espresso,10.0,2024-12-09 00:00:00,Large,10,Coffee,"['Pearl', 'Cookie Crumbs', 'Chia Seed']",CART019,user10@gmail.com,0.0,INV004,,CART019,
1,No Milk,12,BRANCH005,Low Sugar,ORD004,Hot,0,Done,Capuccino,12.0,2024-12-09 00:00:00,Medium,12,Coffee,"['Whipped Cream', 'Pearl']",CART020,user10@gmail.com,0.0,INV004,,CART020,
2,Normal Milk,8,BRANCH005,Normal Sugar,ORD005,Hot,0,Done,Green Tea,15.2,2023-12-21 00:00:00,Small,8,Tea,"['Sago', 'Pearl', 'Chia Seed']",CART021,user9@gmail.com,8.5,INV005,SAVE5,CART021,
1,Normal Milk,10,BRANCH005,Normal Sugar,ORD005,Hot,0,Done,Chocolate,9.5,2023-12-21 00:00:00,Medium,10,Chocolate,[],CART022,user9@gmail.com,8.5,INV005,SAVE5,CART022,
1,Soy Milk,12,BRANCH005,Normal Sugar,ORD005,Normal Ice,0,Done,Mocha,11.4,2023-12-21 00:00:00,Medium,12,Coffee,[],CART023,user9@gmail.com,8.5,INV005,SAVE5,CART023,
2,No Milk,12,BRANCH005,Normal Sugar,ORD005,Less Ice,0,Done,Latte,22.8,2023-12-21 00:00:00,Medium,12,Coffee,"['Cookie Crumbs', 'Sago', 'Whipped Cream']",CART024,user9@gmail.com,8.5,INV005,SAVE5,CART024,
2,Almond Milk,10,BRANCH005,Normal Sugar,ORD005,Normal Ice,0,Done,Chocolate,19.0,2023-12-21 00:00:00,Medium,10,Chocolate,"['Chia Seed', 'Whipped Cream']",CART025,user9@gmail.com,8.5,INV005,SAVE5,CART025,
2,Soy Milk,10,BRANCH003,Normal Sugar,ORD006,Less Ice,0,Done,Chai Latte,19.0,2024-02-27 00:00:00,Small,10,Tea,"['Cookie Crumbs', 'Whipped Cream']",CART026,user1@gmail.com,9.4,INV006,SAVE5,CART026,
2,Almond Milk,10,BRANCH003,Low Sugar,ORD006,Hot,0,Done,Chocolate,19.0,2024-02-27 00:00:00,Medium,10,Chocolate,['Pearl'],CART027,user1@gmail.com,9.4,INV006,SAVE5,CART027,
2,No Milk,12,BRANCH003,Low Sugar,ORD006,Normal Ice,0,Done,Capuccino,22.8,2024-02-27 00:00:00,Medium,12,Coffee,[],CART028,user1@gmail.com,9.4,INV006,SAVE5,CART028,
