age,id,join_date,loyalty_points,customer_name,customer_id,fullname,birthdate,gender,email
20,admin@gmail.com,21/11/2024,0,admin,ADM000,admin,21/11/2004,Male,admin@gmail.com
20,brancha@gmail.com,22/11/2024,0,brancha,BRANCH001,brancha,22/11/2004,Male,brancha@gmail.com
20,branchb@gmail.com,23/11/2024,0,branchb,BRANCH002,branchb,23/11/2004,,branchb@gmail.com
20,branchc@gmail.com,24/11/2024,0,branchc,BRANCH003,branchc,24/11/2004,,branchc@gmail.com
20,branchd@gmail.com,25/11/2024,0,branchd,BRANCH004,branchd,25/11/2004,,branchd@gmail.com
20,branche@gmail.com,26/11/2024,0,branche,BRANCH005,branche,26/11/2004,,branche@gmail.com
31,user10@gmail.com,30/11/2024,236,user10,CUST010,user10,2/12/2002,Male,user10@gmail.com
32,user11@gmail.com,1/12/2024,100,user11,CUST011,user11,3/12/2002,Male,user11@gmail.com
22,user1@gmail.com,21/11/2024,9688,user1,CUST001,user1,23/11/2002,Male,user1@gmail.com
23,user2@gmail.com,22/11/2024,100,user2,CUST002,user2,24/11/2002,Male,user2@gmail.com
24,user3@gmail.com,23/11/2024,312,user3,CUST003,user3,25/11/2002,Male,user3@gmail.com
25,user4@gmail.com,24/11/2024,244,user4,CUST004,user4,26/11/2002,Male,user4@gmail.com
26,user5@gmail.com,25/11/2024,160,user5,CUST005,user5,27/11/2002,Male,user5@gmail.com
27,user6@gmail.com,26/11/2024,510,user6,CUST006,user6,28/11/2002,Male,user6@gmail.com
28,user7@gmail.com,27/11/2024,352,user7,CUST007,user7,29/11/2002,Male,user7@gmail.com
29,user8@gmail.com,28/11/2024,256,user8,CUST008,user8,30/11/2002,Male,user8@gmail.com
30,user9@gmail.com,29/11/2024,261,user9,CUST009,user9,1/12/2002,Male,user9@gmail.com
