password,email,id,customer_id,username,role
admin,admin@gmail.com,admin@gmail.com,ADM000,admin,admin
brancha,brancha@gmail.com,brancha@gmail.com,BRANCH001,brancha,branch
branchb,branchb@gmail.com,branchb@gmail.com,BRANCH002,branchb,branch
branchc,branchc@gmail.com,branchc@gmail.com,BRANCH003,branchc,branch
branchd,branchd@gmail.com,branchd@gmail.com,BRANCH004,branchd,branch
branche,branche@gmail.com,branche@gmail.com,BRANCH005,branche,branch
Abc123!!!,user10@gmail.com,user10@gmail.com,CUST010,user10,customer
Abc123!!!,user1@gmail.com,user1@gmail.com,CUST001,user1,customer
Abc123!!!,user2@gmail.com,user2@gmail.com,CUST002,user2,customer
Abc123!!!,user3@gmail.com,user3@gmail.com,CUST003,user3,customer
Abc123!!!,user4@gmail.com,user4@gmail.com,CUST004,user4,customer
Abc123!!!,user5@gmail.com,user5@gmail.com,CUST005,user5,customer
Abc123!!!,user6@gmail.com,user6@gmail.com,CUST006,user6,customer
Abc123!!!,user7@gmail.com,user7@gmail.com,CUST007,user7,customer
Abc123!!!,user8@gmail.com,user8@gmail.com,CUST008,user8,customer
Abc123!!!,user9@gmail.com,user9@gmail.com,CUST009,user9,customer
